"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Female DEG","GO:0051321","meiotic cell cycle","23/161","319/22893",6.99529702155217e-17,7.80675147605222e-14,7.4297417839433e-14,"ENSMUSG00000002190/ENSMUSG00000009670/ENSMUSG00000010796/ENSMUSG00000020419/ENSMUSG00000021758/ENSMUSG00000022432/ENSMUSG00000025977/ENSMUSG00000027855/ENSMUSG00000029279/ENSMUSG00000032534/ENSMUSG00000036743/ENSMUSG00000036928/ENSMUSG00000037108/ENSMUSG00000037885/ENSMUSG00000040629/ENSMUSG00000043410/ENSMUSG00000048602/ENSMUSG00000058328/ENSMUSG00000060445/ENSMUSG00000067764/ENSMUSG00000069041/ENSMUSG00000070837/ENSMUSG00000072479",23
"Female DEG","GO:0022412","cellular process involved in reproduction in multicellular organism","26/161","491/22893",1.03228976030393e-15,5.76017686249592e-13,5.48200193761402e-13,"ENSMUSG00000000365/ENSMUSG00000009596/ENSMUSG00000009670/ENSMUSG00000010796/ENSMUSG00000021758/ENSMUSG00000022652/ENSMUSG00000027855/ENSMUSG00000027939/ENSMUSG00000028264/ENSMUSG00000028610/ENSMUSG00000029279/ENSMUSG00000035578/ENSMUSG00000036928/ENSMUSG00000040629/ENSMUSG00000043036/ENSMUSG00000043410/ENSMUSG00000046846/ENSMUSG00000050553/ENSMUSG00000058328/ENSMUSG00000060445/ENSMUSG00000067764/ENSMUSG00000069041/ENSMUSG00000070837/ENSMUSG00000071636/ENSMUSG00000072479/ENSMUSG00000072647",26
"Female DEG","GO:0007281","germ cell development","16/161","370/22893",8.44257147496423e-09,1.17773872075751e-06,1.12086244976828e-06,"ENSMUSG00000000365/ENSMUSG00000009596/ENSMUSG00000010796/ENSMUSG00000027855/ENSMUSG00000027939/ENSMUSG00000028264/ENSMUSG00000028610/ENSMUSG00000035578/ENSMUSG00000043036/ENSMUSG00000043410/ENSMUSG00000050553/ENSMUSG00000058328/ENSMUSG00000067764/ENSMUSG00000070837/ENSMUSG00000071636/ENSMUSG00000072479",16
"Female DEG","GO:0009566","fertilization","12/161","215/22893",4.22469735312984e-08,4.86754492191711e-06,4.63247767045309e-06,"ENSMUSG00000002190/ENSMUSG00000009670/ENSMUSG00000022039/ENSMUSG00000022455/ENSMUSG00000033949/ENSMUSG00000040629/ENSMUSG00000045631/ENSMUSG00000046846/ENSMUSG00000060445/ENSMUSG00000062773/ENSMUSG00000071636/ENSMUSG00000072647",12
"Female DEG","GO:0003341","cilium movement","12/161","217/22893",4.67828851568922e-08,4.86754492191711e-06,4.63247767045309e-06,"ENSMUSG00000009596/ENSMUSG00000020930/ENSMUSG00000021758/ENSMUSG00000026567/ENSMUSG00000030851/ENSMUSG00000035578/ENSMUSG00000037101/ENSMUSG00000043036/ENSMUSG00000048029/ENSMUSG00000050553/ENSMUSG00000059854/ENSMUSG00000062773",12
"Female DEG","GO:0000280","nuclear division","16/161","443/22893",1.02460523533005e-07,8.16756744734526e-06,7.773132950737e-06,"ENSMUSG00000009670/ENSMUSG00000010796/ENSMUSG00000020419/ENSMUSG00000021758/ENSMUSG00000022432/ENSMUSG00000027855/ENSMUSG00000029279/ENSMUSG00000032534/ENSMUSG00000036743/ENSMUSG00000036928/ENSMUSG00000037108/ENSMUSG00000040629/ENSMUSG00000043410/ENSMUSG00000048602/ENSMUSG00000060445/ENSMUSG00000069041",16
"Female DEG","GO:0043046","DNA methylation involved in gamete generation","4/161","19/22893",8.41183090085293e-06,0.000469380164267594,0.000446712493629506,"ENSMUSG00000010796/ENSMUSG00000021758/ENSMUSG00000022652/ENSMUSG00000040629",4
"Female DEG","GO:0097722","sperm motility","8/161","153/22893",1.31133356115727e-05,0.000665203751932504,0.00063307921684578,"ENSMUSG00000009596/ENSMUSG00000021758/ENSMUSG00000030851/ENSMUSG00000035578/ENSMUSG00000045631/ENSMUSG00000048029/ENSMUSG00000050553/ENSMUSG00000062773",8
"Female DEG","GO:0009988","cell-cell recognition","6/161","79/22893",2.00487601975898e-05,0.000972800712196097,0.000925821466332637,"ENSMUSG00000002190/ENSMUSG00000022039/ENSMUSG00000045631/ENSMUSG00000046846/ENSMUSG00000062773/ENSMUSG00000072647",6
"Female DEG","GO:0098813","nuclear chromosome segregation","10/161","276/22893",2.70536579757704e-05,0.00120767529203839,0.00114935330094957,"ENSMUSG00000009670/ENSMUSG00000020419/ENSMUSG00000022432/ENSMUSG00000027855/ENSMUSG00000032534/ENSMUSG00000036928/ENSMUSG00000037108/ENSMUSG00000040629/ENSMUSG00000043410/ENSMUSG00000048602",10
