gene	p_val	avg_diff	pct.1	pct.2	CellType	Exp	Exp+
Trbc2	3.6765E-216	2.905348282	0.906	0.041	InnateLymphoid	2.974655188	3.068296418
Ms4a4b	2.7223E-203	3.264776612	0.859	0.011	InnateLymphoid	3.283441723	3.429704375
S100a4	1.0145E-167	3.116621205	0.953	0.002	InnateLymphoid	3.128411831	3.174366412
Thy1	5.9013E-156	2.671733573	0.828	0.002	InnateLymphoid	2.675237199	2.851917159
Ptprcap	2.7436E-153	2.30960145	0.844	0	InnateLymphoid	2.311102896	2.465388196
Hcst	2.8743E-139	2.363182595	0.781	0.001	InnateLymphoid	2.366467742	2.592593065
Ccl5	4.6509E-137	3.619155688	0.719	0.008	InnateLymphoid	3.651134435	3.974047617
Cd3g	3.2207E-129	2.324443011	0.719	0	InnateLymphoid	2.325653562	2.628026883
Cxcr6	4.8563E-125	2.375316403	0.703	0	InnateLymphoid	2.376639882	2.700904904
Nkg7	6.7853E-125	2.528317389	0.688	0	InnateLymphoid	2.528926942	2.878384457
Trac	1.3617E-124	2.687231807	0.75	0.002	InnateLymphoid	2.695178721	2.96583408
Il2rg	1.3852E-109	1.84918742	0.688	0.001	InnateLymphoid	1.854936455	2.179499459
Sept1	1.4266E-108	1.96652953	0.719	0.003	InnateLymphoid	1.976721795	2.267224775
Ly6c2	7.0003E-108	2.70434432	0.625	0.001	InnateLymphoid	2.7083085	3.153000943
Lat	2.2421E-107	1.823874525	0.703	0.002	InnateLymphoid	1.832093708	2.135624799
Trbc1	2.4858E-100	2.236474229	0.578	0	InnateLymphoid	2.237190633	2.739071515
Rps27	2.58953E-90	1.698252233	0.984	0.775	InnateLymphoid	3.898687256	3.914118868
Cd226	8.76098E-89	1.400897313	0.5	0	InnateLymphoid	1.40141219	1.963169131
Was	2.31388E-88	1.600152836	0.562	0.001	InnateLymphoid	1.603497099	2.086722525
Lck	2.43921E-88	1.668597256	0.547	0.011	InnateLymphoid	1.682511999	2.198047337
Ccr2	2.58359E-88	2.361238639	0.578	0.003	InnateLymphoid	2.374071973	2.881968073
Selplg	3.61275E-85	1.709463707	0.562	0.028	InnateLymphoid	1.749075544	2.24529213
Rpl13a	1.30013E-78	1.79129957	0.984	0.756	InnateLymphoid	3.963728774	3.979180335
Cd3e	5.30523E-77	1.752233703	0.531	0.002	InnateLymphoid	1.758956036	2.307302903
Cd2	6.89751E-77	1.646520205	0.531	0.005	InnateLymphoid	1.657828655	2.196785988
Itgb7	1.19044E-76	1.523335453	0.547	0.002	InnateLymphoid	1.53018258	2.030466181
Rps29	4.31228E-75	1.502340488	1	0.769	InnateLymphoid	3.652570751	3.652570751
Lsp1	8.03124E-71	1.665254094	0.688	0.012	InnateLymphoid	1.721447155	2.038641515
Cxcr3	2.77211E-69	1.311115066	0.422	0	InnateLymphoid	1.31201009	2.005836765
Rgs1	4.00853E-69	1.8279952	0.422	0.001	InnateLymphoid	1.829781744	2.595480437
H2-Q6	1.1234E-67	1.573138606	0.5	0.002	InnateLymphoid	1.582123576	2.166828744
Gimap1	1.23932E-67	1.553130814	0.469	0.002	InnateLymphoid	1.559318387	2.198546056
Gimap7	4.4234E-64	1.331490725	0.375	0	InnateLymphoid	1.331855494	2.132370938
Dock10	1.25341E-63	1.44338012	0.453	0.002	InnateLymphoid	1.449336965	2.103538884
Tbc1d10c	7.0618E-63	1.346538773	0.484	0.002	InnateLymphoid	1.355958884	1.938280782
Skap1	1.44477E-62	1.364573812	0.516	0.043	InnateLymphoid	1.427563599	1.966416876
Ikzf1	7.15123E-62	1.189923977	0.453	0.002	InnateLymphoid	1.19662039	1.807556849
Mir142hg	1.59382E-60	1.545655737	0.438	0.006	InnateLymphoid	1.556150724	2.256520436
Fau	7.76471E-60	1.378359956	0.984	0.752	InnateLymphoid	3.28972529	3.304891226
Itga4	1.35376E-57	1.22787045	0.438	0.005	InnateLymphoid	1.239020382	1.887841625
Il18r1	1.64614E-56	1.489909983	0.359	0.001	InnateLymphoid	1.492202179	2.360033993
Rpl35	3.59944E-56	1.632216237	0.922	0.517	InnateLymphoid	2.875305368	2.952235107
Gimap9	3.70436E-56	1.363303784	0.438	0.002	InnateLymphoid	1.372313863	2.045136096
Rps6	9.3569E-56	1.636081001	0.844	0.406	InnateLymphoid	2.570994315	2.728874621
Spn	1.55135E-55	1.060565205	0.344	0.001	InnateLymphoid	1.063693205	1.874673868
Tmsb10	1.7792E-55	1.267565953	0.953	0.726	InnateLymphoid	3.26234027	3.308552626
